,Needs MWh
1569,0.002387
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.01049
1577,0.035332
1578,0.06019
1579,0.07669
1580,0.07462
1581,0.06708
1582,0.05599
1583,0.04276
1584,0.03198
1585,0.02544
1586,0.02237
1587,0.02109
1588,0.02087
1589,0.02267
1590,0.02907
1591,0.037716
1592,0.025713
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.002615
1601,0.027585
1602,0.05609
1603,0.07353
1604,0.07282
1605,0.06849
1606,0.05717
1607,0.04344
1608,0.03198
1609,0.02544
1610,0.02237
1611,0.02109
1612,0.02087
1613,0.02267
1614,0.02907
1615,0.037596
1616,0.01605
1617,0.0
1618,0.010751
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.00389
1625,0.030472
1626,0.05609
1627,0.07353
1628,0.07282
1629,0.06849
1630,0.05717
1631,0.04344
1632,0.03198
1633,0.02544
1634,0.02237
1635,0.02109
1636,0.02087
1637,0.02267
1638,0.02907
1639,0.037401
1640,0.015795
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.002213
1649,0.028644
1650,0.05609
1651,0.07353
1652,0.07282
1653,0.06849
1654,0.05717
1655,0.04344
1656,0.03198
1657,0.02544
1658,0.02237
1659,0.02109
1660,0.02087
1661,0.02267
1662,0.02907
1663,0.037407
1664,0.018377
1665,0.0
1666,0.014959
1667,0.0
1668,0.005764
1669,0.0
1670,0.0
1671,0.002029
1672,0.020988
1673,0.028424
1674,0.05609
1675,0.07353
1676,0.07282
1677,0.06849
1678,0.05717
1679,0.04344
1680,0.03198
1681,0.02544
1682,0.02237
1683,0.02109
1684,0.02087
1685,0.02267
1686,0.02907
1687,0.037081
1688,0.014161
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.000988
1697,0.02806
1698,0.05609
1699,0.07353
1700,0.07282
1701,0.06849
1702,0.05717
1703,0.04344
1704,0.03378
1705,0.02671
1706,0.02319
1707,0.02159
1708,0.02114
1709,0.02241
1710,0.02657
1711,0.032691
1712,0.017189
1713,0.001749
1714,0.0
1715,0.0
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.010713
1721,0.035003
1722,0.06359
1723,0.08399
1724,0.07755
1725,0.06751
1726,0.05795
1727,0.04594
1728,0.0352
1729,0.02778
1730,0.01808
1731,0.02228
1732,0.0213
1733,0.02185
1734,0.02427
1735,0.030026
1736,0.022761
1737,0.01035
1738,0.039061
1739,0.046094
1740,0.051498
1741,0.043528
